,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bollybubble,Bollywood Bubble - Your One Stop Destination For Latest Bollywood Updates.,"Mumbai, Maharashtra",440,132406,51202,1,"Sahil Shah identified as prime suspect in the drug probe of Sushant Singh Rajput case

#SushantSinghRajput #SahilShah #BollywoodBubble 

https://t.co/u7R5DqrcEf","['SushantSinghRajput', 'SahilShah', 'BollywoodBubble']"
1,sushantssmile,"ᴡᴀɴᴛɪɴɢ ᴛᴏ ʟɪᴠᴇ ᴀs ʏᴏᴜʀ sᴍɪʟᴇ
ᴊᴜsᴛ ᴏɴᴇ ʟᴀsᴛ ᴛɪᴍᴇ, 
ᴇᴠᴇʀʏ ᴛɪᴍᴇ...;)❤

| Leaders Are Readers | 
       #𝕾𝖚𝖘𝖍𝖆𝖓𝖙𝖎𝖓𝖌",∞,369,412,11591,17,"Somewhere' between neurons &amp; narratives..... 
#SushantSinghRajput #sushanting #thebesthero ❤ #Warriors4SSR https://t.co/g46RXEAmy8","['SushantSinghRajput', 'sushanting', 'thebesthero', 'Warriors4SSR']"
2,Namita67793491,Justice for SSR,,66,89,20550,5,Ppl trending National Embarrassment CBI - U R the embarrassment. Plz use ur brains!No investigating agency in the 🌎 gives updates 2 the public. ONLY the petitioners. U want updates? ASK THE FAMILY OF #SushantSinghRajput @SushantJustice1 @SelfMusing1 @TKhere4truth @blve2manifest,[]
3,being_grapher04,"Photographer.
Sushant Singh Rajput's Fan
SSR Forever ❤️
Justice For Sushant",भारत,82,27,20,0,"We all are missing your need. 
#SushantSinghRajput #JusticeForSushantSinghRajput #SSRWarriors #sushantkojusticekabmilega #SUSHANT @itsSSR @ssrwarriors_ @GauriTweets_ @_JusticeForSush @amitmuny @ThelegendSSR @FIGHTSSRIAN4SSR @fightfor_ssr_ @JagdeepSingh314 https://t.co/nf9zzYrp2o","['SushantSinghRajput', 'JusticeForSushantSinghRajput', 'SSRWarriors', 'sushantkojusticekabmilega', 'SUSHANT']"
4,sushantssmile,"ᴡᴀɴᴛɪɴɢ ᴛᴏ ʟɪᴠᴇ ᴀs ʏᴏᴜʀ sᴍɪʟᴇ
ᴊᴜsᴛ ᴏɴᴇ ʟᴀsᴛ ᴛɪᴍᴇ, 
ᴇᴠᴇʀʏ ᴛɪᴍᴇ...;)❤

| Leaders Are Readers | 
       #𝕾𝖚𝖘𝖍𝖆𝖓𝖙𝖎𝖓𝖌",∞,369,412,11591,1,"Hi All,

Please sign this petition.

#JusticeForSushantSinghRajput 
#SushantSinghRajput 

@censorboard: BOYCOTT MOVIE NYAAY - Sign the Petition! https://t.co/qVcYYVgwZl via @ChangeOrg_India","['JusticeForSushantSinghRajput', 'SushantSinghRajput']"
5,Bhumika93226564,,,372,547,52851,1882,"Thank you all for the unconditional Love &amp; support in these unbearable &amp; relentlessly trying times. Sushant, ma brother, you are much loved. Gratitude 🙏 #ssrians #ssr #SushantSinghRajput https://t.co/Amhq46O6t8",[]
6,ChimpGossip,"Your source for K-Drama, TV, Gaming, Reviews. Check out the website for the hottest fashion & more.",,283,22,2052,0,"#NationalEmbarrassmentCBI #PMNarendraModi #sushantsinghrajput
Sushant Singh Rajput Warriors Trend 'National Embarrassment CBI' &amp; 'SSR Justice Is Basic Right', Tag PM Narendra Modi- SEE POSTS

https://t.co/sqntoTNpwl https://t.co/hth2Aebm7o","['NationalEmbarrassmentCBI', 'PMNarendraModi', 'sushantsinghrajput']"
7,Ruchi4Tweets,"Voice For RIGHT! Quick with blocking so refrain from any kind of nonsense. Differences and discussions are welcomed, Arguments r not! If u assume don’t ask!",,250,1687,49057,1,"Hi All,

Please sign this petition.

#JusticeForSushantSinghRajput 
#SushantSinghRajput 

@censorboard: BOYCOTT MOVIE NYAAY - Sign the Petition! https://t.co/qVcYYVgwZl via @ChangeOrg_India","['JusticeForSushantSinghRajput', 'SushantSinghRajput']"
8,Bhumika93226564,,,372,547,52851,1798,"Remember how I went crazy with joy when you first shared this @itsSSR ... I love you for your unbelievable magic as an artist and you know, as I told you always, I am your biggest fan❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️   #SushantSinghRajput #2YearsOfSushantAsLakhna https://t.co/BWlXPQxbvl",[]
9,Harpree72889970,"bachlors in legislative law 
.(LLB) Advocate ,ISBP member.
Dubito Ergo, cogito Ergo sum(I Think There fore I Am) 
Photon in a double slit 💥",Khanna Punjab( India ),33,80,7798,2,"@smitaparikh2 @itsSSR Family lawyer must take a serious action now! Enough is Enough!

Sometimes I feel we have to raise voice for NIA Not CBI, CBI holding silence for what, 10 months to go still not able to find anything or just wanting when we stop our voice which is impossible! #SushantSinghRajput",[]
10,SanthoshArjun5,"Cult fan of @alluarjun ❤😎 #Pushpa @PawanKalyan   ❤😎
#VakeelSaab","Karnataka, India",252,239,65534,10193,"Deeply Saddened by this news . A Good actor who’s work I really admired. Condolences to his Family , near n dear ones . Very deeply disturbed . RIP #SushantSinghRajput https://t.co/aKE9qiB1Ah",[]
11,Almacreativa_1,A Dreamer | An Artist Soul                Who inspired a lot by Sushant Singh Rajput | Not SERI till Justice 💫,,87,220,5213,0,"☾

           🔭𖨆♡ @itsSSR 

Missing you badly my inspiration!

#SushantSinghRajput",['SushantSinghRajput']
12,Shiva08771517,a traveller through time and space.,,58,5,878,1,"#my11circle if you wanted to make your ad look absolutely shady and shitty with the bulliwood prick you hit the jackpot,ads are absolutely revolting #banbollywood #SushanthSinghRajput #SushantSinghRajput #sushantkojusticekabmilega #BoycottBollywood #BoycottBollywoodDruggies",['my11circle']
13,Shiva08771517,a traveller through time and space.,,58,5,878,1,"#my11circle if you wanted to make your ad look absolutely shady and shitty with the bulliwood prick you hit the jackpot,ads are absolutely revolting #banbollywood #SushanthSinghRajput #SushantSinghRajput #sushantkojusticekabmilega #BoycottBollywood #BoycottBollywoodDruggies","['my11circle', 'banbollywood', 'SushanthSinghRajput', 'SushantSinghRajput', 'sushantkojusticekabmilega', 'BoycottBollywood', 'BoycottBollywoodDruggies']"
14,RajivGu88725907,,,1,0,181,10107,"Absolutely shocked and stunned on learning about the demise of Sushant Singh Rajput! 
Unbelievable! Sincere condolences and prayers for his family. Rest in peace.. #SushantSinghRajput",[]
15,PriyankaJadav19,#justiceforssr #warrior4ssr #immortalssr #united4ssr,,2169,1631,95679,2,"@smitaparikh2 @itsSSR Family lawyer must take a serious action now! Enough is Enough!

Sometimes I feel we have to raise voice for NIA Not CBI, CBI holding silence for what, 10 months to go still not able to find anything or just wanting when we stop our voice which is impossible! #SushantSinghRajput",[]
16,SSRSpeaks,One with SSR Soul forever...,SSR Universe,624,571,22953,1,"For saving youth from drugs @narcoticsbureau eradicate the whole nexus of bollyweed who are involved in procuring n supplying drugs n give true justice to #SushantSinghRajput Who sacrificed His life in exposing them !
SSR Feared After Disha Death as He was to do a PC to expose  ! https://t.co/ygJrJuaUwZ",[]
17,SsrRules,SSRian...,SSR Universe,512,434,9683,1,"For saving youth from drugs @narcoticsbureau eradicate the whole nexus of bollyweed who are involved in procuring n supplying drugs n give true justice to #SushantSinghRajput Who sacrificed His life in exposing them !
SSR Feared After Disha Death as He was to do a PC to expose  ! https://t.co/ygJrJuaUwZ",['SushantSinghRajput']
18,shivangikadu14,,,48,33,996,0,"Day:306
I am Sushant Singh Rajput
I was Murdered
I want Justice
#SushantSinghRajput
#ImmortalSushant
#selfmusing
#Justice4SSRIsGlobalDemand
#DishaSaliyan
#SSRians
#JusticeForSushantSinghRajput
#ArrestMurdererOfSushant
#JusticeNeedsToBeServed
#SSR
#WarriorsRoar4SSR
#jaishivshambho","['SushantSinghRajput', 'ImmortalSushant', 'selfmusing', 'Justice4SSRIsGlobalDemand', 'DishaSaliyan', 'SSRians', 'JusticeForSushantSinghRajput', 'ArrestMurdererOfSushant', 'JusticeNeedsToBeServed', 'SSR', 'WarriorsRoar4SSR', 'jaishivshambho']"
19,Almacreativa_1,A Dreamer | An Artist Soul                Who inspired a lot by Sushant Singh Rajput | Not SERI till Justice 💫,,87,220,5213,2,"@smitaparikh2 @itsSSR Family lawyer must take a serious action now! Enough is Enough!

Sometimes I feel we have to raise voice for NIA Not CBI, CBI holding silence for what, 10 months to go still not able to find anything or just wanting when we stop our voice which is impossible! #SushantSinghRajput",['SushantSinghRajput']
20,TRENDINGNOWTel1,Telugu/ Tamil/ Kannada/ Malayalam/ Hindi,https://youtube.com/channel/UC,1001,95,2264,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
21,Shiva08771517,a traveller through time and space.,,58,5,878,0,"#levis #levisindia the new ads sure do make #DeepikaPadukone look like a dealer if that's the 2021 look you are going for then you have nailed it 
#SushanthSinghRajput #SushantSinghRajput #sushantkojusticekabmilega #bulliwood #banbollywood #boycotbollywood","['levis', 'levisindia', 'DeepikaPadukone', 'SushanthSinghRajput', 'SushantSinghRajput', 'sushantkojusticekabmilega', 'bulliwood', 'banbollywood', 'boycotbollywood']"
22,RaviKum57497738,,,1,0,171,10107,"Absolutely shocked and stunned on learning about the demise of Sushant Singh Rajput! 
Unbelievable! Sincere condolences and prayers for his family. Rest in peace.. #SushantSinghRajput",[]
23,SahilSi32942804,,,12,29,3835,26,"SSR is already a SUPERPOWER..! more actively at work than anyone.! He has paved the way for new resurgent India more stronger than ever n He is saying about Himself only that""Honesty will be a superpower""!
#SushantSinghRajput 
#Revolution4SSR 
#JusticeforSSR
10 Months Without SSR https://t.co/rkIg7vxebp",[]
24,Jayavar58897731,,,411,132,17745,10,"Filmfare pays a tribute to #Irrfan, #SushantSinghRajput, #RishiKapoor, #BhanuAthaiya, #SarojKhan and many more beloved artistes the fraternity lost last year, at the 66th #VimalElaichiFilmfareAwards 2021. #FilmfareAwards #FilmfareOnFB 

https://t.co/8QgN7FPFVW","['Irrfan', 'SushantSinghRajput', 'RishiKapoor', 'BhanuAthaiya', 'SarojKhan']"
25,ZoomTV,"Latest celebrity news, photos, videos & more! Follow us on our Telegram Handle: https://t.co/HA4zVBKPhs",Bollywood,412,4653097,162919,1,"NCB has identified drug supplier in connection with the drug probe linked to #SushantSinghRajput's death

https://t.co/kJzV4D87eK",['SushantSinghRajput']
26,sushant_rajpu,Sushant .. you are a part of me ..❤,,1977,1852,41028,4,"We Love You Dainik Bhaskar ??
Abbb trend Chalaoooo

#DainikBhaskar #SushantSinghRajput https://t.co/8PVFeYEKX7","['DainikBhaskar', 'SushantSinghRajput']"
27,smartcat05,,,254,249,53797,1798,"Remember how I went crazy with joy when you first shared this @itsSSR ... I love you for your unbelievable magic as an artist and you know, as I told you always, I am your biggest fan❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️   #SushantSinghRajput #2YearsOfSushantAsLakhna https://t.co/BWlXPQxbvl",[]
28,Raghava4mahesh,Mahesh Ajith Aamir Kohli,India,304,4180,133921,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
29,bollywood_life,"Know what's trending in Bollywood. Catch up with the latest celebrity news, gossips, movie reviews and much more only at https://t.co/k4dc7eZy57",Mumbai,713,730154,134040,1,"The Narcotics Control Bureau (NCB) has identified a man named #SahilShah as the prime suspect in the #SushantSinghRajput drug case. The anti-narcotics agency has arrested two of his peddlers on Tuesday afternoon.

https://t.co/mEyZgkaypM","['SahilShah', 'SushantSinghRajput']"
30,Priyank10199430,"Photon in a double-slit 💥

@itsSSR ... not seri!","Gujarat, India",326,511,7663,66,"𝘼 𝙁𝙖𝙞𝙧𝙮𝙩𝙖𝙡𝙚 𝙩𝙝𝙧𝙚𝙖𝙙 𝙤𝙣  
𝙎𝙪𝙨𝙝𝙖𝙣𝙩 𝙓 𝙀𝙡𝙨𝙖 👑❄️⛄

@itsSSR

#SushantSinghRajput https://t.co/qlNElcFXBB",['SushantSinghRajput']
31,Vijayalaxmi__,"‘Comment is free, but “FACTS” are sacred.’ Celebrate life. Views are personal, ❌DM, Nation first, Follower of Hinduism, #Blogger #Writing✍🏻🕉☮️🎉",🌏💫,223,216,1833,0,"Met one of my uncles in India who’s retired from his high position in banking sector. It was strange to see him fighting 24/7 for Sushant Singh’s justice now. He was keen on every movement of this fight. Hope #SushantSinghRajput gets a fair justice.
SSR Feared After Disha Death",['SushantSinghRajput']
32,Miru21258378,Here just for SSR,,4,378,95577,43,"10 months no Justice 

It does not matter how long it will take. 

We SSR’S will wait to get justices for #SushantSinghRajput 

10 month or 10 years. 

10 Months Without SSR https://t.co/5o96paPmsV",[]
33,itsLRSR,"I will be waiting here🦋💥
For your silence to break,
For your soul to shake,
For your LOVE to wake!–Rumi🦚🎻🕊️🎭",,104,63,25506,1,"@itsSSR It's been 10 months Sushant. Waapis aa rahe hain na?
0.1% Believe
#SushantSinghRajput #SushantIsAlive #SushantWillComeback #JusticeForSushantSinghRajput https://t.co/VJ1nEAdPpa","['SushantSinghRajput', 'SushantIsAlive']"
34,CutegarimaSingh,Teri kismat da likheya tere se koi le ni sakda je usdi Meher hove tenu ve bhi mil jaave je tera ho nai sakda😍susholic Sushant k fans shaant  nahi honge🔱🦋💫❤️,,534,421,4519,4,"We Love You Dainik Bhaskar ??
Abbb trend Chalaoooo

#DainikBhaskar #SushantSinghRajput https://t.co/8PVFeYEKX7","['DainikBhaskar', 'SushantSinghRajput']"
35,Love4SSR_,"Fav :- Astha , Samu , Alok , Anurag ,  ishita , Anish ,❤️Senorita And Me itself🤗

                                From Day1  SpreadLove Avoid Negativity",Mars Soon,343,2513,38968,4,"We Love You Dainik Bhaskar ??
Abbb trend Chalaoooo

#DainikBhaskar #SushantSinghRajput https://t.co/8PVFeYEKX7","['DainikBhaskar', 'SushantSinghRajput']"
36,Tanutoor85,Backup Account(@harinderstoor)Self-musing|JusticeForSushantSinghRajput|Don’t Be A Jerk|Seri ❣️,"Winnipeg, Manitoba",1186,1119,41499,1,"Good morning Sush🦋❤

#SushantSinghRajput https://t.co/ODXlloUjan",['SushantSinghRajput']
37,Love4SSR_,"Fav :- Astha , Samu , Alok , Anurag ,  ishita , Anish ,❤️Senorita And Me itself🤗

                                From Day1  SpreadLove Avoid Negativity",Mars Soon,343,2513,38968,4,"We Love You Dainik Bhaskar ??
Abbb trend Chalaoooo

#DainikBhaskar #SushantSinghRajput https://t.co/8PVFeYEKX7","['DainikBhaskar', 'SushantSinghRajput']"
38,its_krutika,"Duniya Zamane Se Rishte Mitaye Hai
Tujhse Hi Yaari Hain Humari
Ik Baar Toh Aa..❤🦋",Sushant's heart,1484,1966,44102,1,"Good morning Sush🦋❤

#SushantSinghRajput https://t.co/ODXlloUjan",['SushantSinghRajput']
39,Koimoi,"Latest Entertainment News, Quick Reviews, & The One Stop Box Office Guru.
https://t.co/6e5quzrugB
Follow:
Facebook- https://t.co/puupz9Jw0A
Instagram - koimoi",Bombay,955,232810,103127,2,"#SushantSinghRajput Case: Drug Dealer Sahil Shah Who Supplied Marijuana Buds To SSR Identified As Prime Suspect!

#Koimoi

https://t.co/LFuJJ2dQAW","['SushantSinghRajput', 'Koimoi']"
40,Nihira07,Joined Twitter 4 💞 🦋 SSR 🦋💞,,41,56,949,7,"Vibhor Anand abusing Sushant Singh Rajput 

https://t.co/zETY6IGTgu

#SSR #SushantSinghRajput","['SSR', 'SushantSinghRajput']"
41,qareebnjr,"Love, Instant Support, Smile, You are Welcome.

Follow Back milne par unfollow maat kya kro yaaar!!"," Kolkata,India",634,668,4749,0,"Look no difference 😐😐

#SushantSinghRajput https://t.co/erqY73GeRK",['SushantSinghRajput']
42,Divya66228309,"Ranbir Kapoor 😘😘
He is the most charming man I know.",Rks Heart ,265,82,2731,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
43,swapna31639281,i dream of you you live me 💔🦋💫💥,"Hyderabad, India",101,389,103279,0,@itsSSR Good Morning dear ❤️💫💥🦋💔 #SushantSinghRajput https://t.co/ewk8Ni19P3,['SushantSinghRajput']
44,DilSeHonest,Haters and liars stay away.,,56,87,1150,6,"#SushantSinghRajput,
@itsSSR we are going to fight for your justice.
Your murderers will not escape this time😡
#JaiHind 

#WorldRecord4SSR https://t.co/wJQNqurOho","['SushantSinghRajput', 'JaiHind']"
45,KaranRajani17,"22 VIRGO
BE KIND, ALWAYS♥️💯.
ONLY HUMANITY WILL SURVIVE 💫🌍🔮
IT WILL ALL MAKE SENSE ONE DAY😊✨",,197,32,6309,154,"Sushant you are missed as the moon misses the sun, destined to chase each other till the end of time 💔💔
@ips_nupurprasad Mam @NIA_India @narcoticsbureau #CBI requesting you all to please help us in getting complete justice for #SushantSinghRajput 

10 Months Without SSR",[]
46,Tigerian_Pratik,"We Are Here For Supporting One And Only @iTIGERSHROFF
💖Tigerians Always💖
Follow Me On Instagram - @tigershroff_empire","Nagpur, India",109,392,15874,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
47,Nyay4SSR2,"Justice a must for SSR, Disha,Haruma and Jiah Khan.
Main account @Nyay4SSR",India,351,259,4625,43,"10 months no Justice 

It does not matter how long it will take. 

We SSR’S will wait to get justices for #SushantSinghRajput 

10 month or 10 years. 

10 Months Without SSR https://t.co/5o96paPmsV",[]
48,itsmekeerthi05,"Am here for Sushant 🌈n Only Sushant♥️♥️ N I'm ..
Dreamer 🥰🌈🌈 Artist👩‍🎨🎨 
Loves ♥️Colors 🎨
Books📚📚  Music🎶 Moon🌜 n Furry Friends 🐕🐶",🇮🇳,526,749,50652,1882,"Thank you all for the unconditional Love &amp; support in these unbearable &amp; relentlessly trying times. Sushant, ma brother, you are much loved. Gratitude 🙏 #ssrians #ssr #SushantSinghRajput https://t.co/Amhq46O6t8",[]
49,JannatFerdousee,"Working on myself, a Book-freak girl, Silent typo, Mysterious & a Fighter 🌝","Dhaka, Bangladesh",1732,1568,64839,1,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY 🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/8zlmr5wrgN","['ssrians', 'BoycottBollywoodDruggies']"
50,MurmuNik,Optimistic!!!,India,196,289,762,0,10 months without SSR #JusticeForSushantSinghRajput #SushantSinghRajput #Warriors4SSR,"['JusticeForSushantSinghRajput', 'SushantSinghRajput', 'Warriors4SSR']"
51,Positiv69601696,,,636,394,22424,26,"SSR is already a SUPERPOWER..! more actively at work than anyone.! He has paved the way for new resurgent India more stronger than ever n He is saying about Himself only that""Honesty will be a superpower""!
#SushantSinghRajput 
#Revolution4SSR 
#JusticeforSSR
10 Months Without SSR https://t.co/rkIg7vxebp",[]
52,Jitendr33410794,I FAN TIGER SHROFF,"Gujarat, India",2020,2534,12095,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
53,keesain99,New Day New Possibilities - But One Goal - Justice4SSR,🇺🇸,512,717,50708,2,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/1Kg0cvmKVr","['ssrians', 'BoycottBollywoodDruggies']"
54,shaf428,"You only live once, but if you do it right, once is enough                                               #JusticeForSushantSinghRajput","Nairobi, Kenya",543,794,16932,43,"10 months no Justice 

It does not matter how long it will take. 

We SSR’S will wait to get justices for #SushantSinghRajput 

10 month or 10 years. 

10 Months Without SSR https://t.co/5o96paPmsV",[]
55,aashi0309,SSRIAN TILL ETERNITY ❤️,India,402,415,4059,1,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY 🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/51LyckUDpG","['ssrians', 'BoycottBollywoodDruggies']"
56,shoos4u,🍁💫,,1301,1894,461778,26,"SSR is already a SUPERPOWER..! more actively at work than anyone.! He has paved the way for new resurgent India more stronger than ever n He is saying about Himself only that""Honesty will be a superpower""!
#SushantSinghRajput 
#Revolution4SSR 
#JusticeforSSR
10 Months Without SSR https://t.co/rkIg7vxebp",[]
57,Buzzinggaaa,Mom.Wife.Daughter.Sister.,Amchi Mumbai,269,90,1978,43,"10 months no Justice 

It does not matter how long it will take. 

We SSR’S will wait to get justices for #SushantSinghRajput 

10 month or 10 years. 

10 Months Without SSR https://t.co/5o96paPmsV",[]
58,BenuSangma,SSR fan club,Agartala Tripura,1521,999,44572,154,"Sushant you are missed as the moon misses the sun, destined to chase each other till the end of time 💔💔
@ips_nupurprasad Mam @NIA_India @narcoticsbureau #CBI requesting you all to please help us in getting complete justice for #SushantSinghRajput 

10 Months Without SSR",[]
59,itsAnu__,Warm smile = universal language of kindness 🤗 | RTs != endorsements | Views are personal | She/Her | Live and let live 🙌,"California, USA",1428,1873,66002,1,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/mTsubpfbEh","['ssrians', 'BoycottBollywoodDruggies']"
60,itsAnu__,Warm smile = universal language of kindness 🤗 | RTs != endorsements | Views are personal | She/Her | Live and let live 🙌,"California, USA",1428,1873,66002,1,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/mTsubpfbEh","['ssrians', 'BoycottBollywoodDruggies']"
61,BenuSangma,SSR fan club,Agartala Tripura,1521,999,44572,43,"10 months no Justice 

It does not matter how long it will take. 

We SSR’S will wait to get justices for #SushantSinghRajput 

10 month or 10 years. 

10 Months Without SSR https://t.co/5o96paPmsV",[]
62,DSouls05,"🅿🆁🅾🆄🅳 🅸🅽🅳🅸🅰🅽
ᴋᴀᴛʜᴀᴋᴀʀ ʙʏ ᴘʀᴏꜰᴇꜱꜱɪᴏɴ
ʟᴏᴠᴇꜱ ᴘᴏᴇᴛʀʏ ..ᴛʀᴀᴠᴇʟʟɪɴɢ..ʜᴀᴘᴘʏ ɴ ʙʟᴇꜱꜱᴇᴅ ᴍᴇ❤❤",Tere dimag Mein!!,3026,3257,104493,2,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/Ug5qHLV8Wi","['ssrians', 'BoycottBollywoodDruggies']"
63,Justice78602373,"Fan of Sushant💖💖
you will always be alive in our hearts 💖 forever",,714,936,125042,43,"10 months no Justice 

It does not matter how long it will take. 

We SSR’S will wait to get justices for #SushantSinghRajput 

10 month or 10 years. 

10 Months Without SSR https://t.co/5o96paPmsV",[]
64,Tunni4SSR,"Indian Citizen who has joined Twitter to seek #JusticeForSushantSinghRajput.
I AM NOT A BOT.😡
STOP SUPPRESSING #FREEDOMOFSPEECH.
@pmoindia @hmoindia @republic",,1102,482,7485,0,"10 Months Without SSR
NO!!!
It's a death without @itsSSR until I leave this Mrityu Lok &amp; be with him forever.I am dead here,I request God to give me birth in heaven soon after #JusticeForSushantSinghRajput #JusticeForDishaSalian,to be with My God Child #SushantSinghRajput FOREVER","['JusticeForSushantSinghRajput', 'JusticeForDishaSalian', 'SushantSinghRajput']"
65,Bhumika93226564,,,372,547,52851,154,"Sushant you are missed as the moon misses the sun, destined to chase each other till the end of time 💔💔
@ips_nupurprasad Mam @NIA_India @narcoticsbureau #CBI requesting you all to please help us in getting complete justice for #SushantSinghRajput 

10 Months Without SSR",[]
66,mp61778924,Only For SSR,,26,54,9684,1,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/GoQI5iHvEr","['ssrians', 'BoycottBollywoodDruggies', 'WeSSRiansAreUnited', 'SSRWarriors', 'JusticeForSushantSinghRajput', 'JusticeForDisha', 'JusticeForJiahKhan', 'SushantSinghRajput', 'SSRMurderNotSuicide']"
67,mp61778924,Only For SSR,,26,54,9684,2,"FAKE PEDDLERS STAY AWAY 

TRUE #ssrians NEVER BLAME FAMILY🙏🙏🙏

10 Months Without SSR

#BoycottBollywoodDruggies
#WeSSRiansAreUnited
#SSRWarriors
#JusticeForSushantSinghRajput
#JusticeForDisha
#JusticeForJiahKhan
#SushantSinghRajput
#SSRMurderNotSuicide https://t.co/1Kg0cvmKVr","['ssrians', 'BoycottBollywoodDruggies', 'WeSSRiansAreUnited', 'SSRWarriors', 'JusticeForSushantSinghRajput', 'JusticeForDisha', 'JusticeForJiahKhan', 'SushantSinghRajput', 'SSRMurderNotSuicide']"
